Work Estimation Details,,Optimistic,Most Likely,Pessimistic,Confidence,75%,85%,95%,99.5%,"Supporting Document Links: (Enter Links to Requirements, Specifications, or other supporting documents in this column)",,,,
SDLC Phases,Activity/Task (Requirement number),Effort Hrs,Effort Hrs,Effort Hrs,Factor,Confidence,Confidence,Confidence,Confidence,,,,,
Construction, ,,,,,,,,,,,,,
,Coding based on priority,,,,0.00,0.00,0.00,0.00,0.00,,,,,
,REQ 1,7.0,8.5,9.0,0.33,8.33,8.67,9.00,9.33,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 2,5.0,6.0,8.0,0.50,6.17,6.67,7.17,7.67,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 3,5.0,7.0,8.0,0.50,6.83,7.33,7.83,8.33,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 4,7.0,8.0,10.0,0.50,8.17,8.67,9.17,9.67,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 5,5.0,6.0,7.0,0.33,6.00,6.33,6.67,7.00,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 6,3.0,4.0,6.0,0.50,4.17,4.67,5.17,5.67,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 7,3.0,4.0,6.0,0.50,4.17,4.67,5.17,5.67,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 8,3.0,5.0,6.0,0.50,4.83,5.33,5.83,6.33,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 9,2.0,3.0,4.0,0.33,3.00,3.33,3.67,4.00,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 10,2.0,4.0,5.0,0.50,3.83,4.33,4.83,5.33,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,REQ 11 (We will add a new requirement),15.0,18.5,20.0,0.83,18.17,19.00,19.83,20.67,pitch-deck/User Stories at main · Young7197/pitch-deck,,,,
,,,,,,,,,,,,,,
,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
Work Estimate Totals,,57.00,74.00,89.00,,73.67,79.00,84.33,89.67,,,,,
,,,,,,,,,,,,,,
